@relation MyRelation

@attribute isASK numeric
@attribute isSELECT numeric
@attribute isCONSTRUCT numeric
@attribute valLIMIT numeric
@attribute valOFFSET numeric
@attribute hasVarPref numeric
@attribute usePrefix numeric
@attribute nbGROUPBY numeric
@attribute nbUNION numeric
@attribute nbFILTER numeric
@attribute nbORDERBY numeric
@attribute nbBGP numeric
@attribute nbTRIPLE numeric
@attribute nbSERVICE numeric
@attribute levenshtein numeric
@attribute nbOperator numeric
@attribute selectivity numeric
@attribute nbVariable numeric
@attribute nbConcrete numeric
@attribute nbPredicatGeneric numeric
@attribute nbVariableLiee numeric
@attribute ratioVariable numeric
@attribute ratioConcrete numeric
@attribute ratioGeneric numeric
@attribute ratioVLiee numeric
@attribute Class numeric

@data
0,1,0,-1,-1,0,1,0,0,0,0,1,1,0,0,2,1,1,2,0,0,33,66,0,0,1.495
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.701
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.694
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.498
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.531
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.682
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.688
0,1,0,3000,-1,0,1,0,0,1,0,1,3,0,0,4,1,2,5,1,2,22,55,11,22,7.836
0,1,0,-1,-1,0,1,0,0,1,0,1,1,0,0,3,1,1,2,0,0,33,66,0,0,1.516
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.682
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.686
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.679
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.691
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.692
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.67
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.677
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.555
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.686
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.694
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.688
0,1,0,-1,-1,1,1,0,2,1,0,10,13,0,0,20,0,20,16,4,3,51,41,10,7,1.558
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.676
0,1,0,-1,-1,0,1,0,0,0,0,1,1,0,0,2,1,1,2,0,0,33,66,0,0,1.5
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.681
0,1,0,3000,-1,0,1,0,0,1,0,1,3,0,0,4,1,2,5,1,2,22,55,11,22,8.519
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.705
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.67
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.695
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.693
0,1,0,-1,-1,0,1,0,0,0,0,1,1,0,0,2,1,1,2,0,0,33,66,0,0,1.507
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.689
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.705
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.696
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.688
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.657
0,1,0,-1,-1,1,0,0,0,0,0,1,2,0,0,1,1,2,3,1,1,33,50,16,16,1.671
0,1,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,1,1,2,0,0,33,66,0,0,1.504
